Variable,Camp,Age,Hosp_given_symptomatic,Critical_given_hospitalised,Value,Notes
Population_structure,made_up,0-9,0.1,5,20.25,
Population_structure,made_up,Oct-19,0.3,5,20.25,
Population_structure,made_up,20-29,1.2,5,18.2,
Population_structure,made_up,30-39,3.2,5,18.2,
Population_structure,made_up,40-49,4.9,6.3,18.2,
Population_structure,made_up,50-59,10.2,12.2,2,
Population_structure,made_up,60-69,16.6,27.4,1,
Population_structure,made_up,70-79,24.3,43.2,1,
Population_structure,made_up,80+,27.3,70.9,0.9,
Total_population,made_up,,,,200000,
,,,,,,
Population_structure,Moria,0-9,0.1,5,21.05347594,taken from moria_params.csv
Population_structure,Moria,Oct-19,0.3,5,17.3368984,
Population_structure,Moria,20-29,1.2,5,26.35294118,
Population_structure,Moria,30-39,3.2,5,17.15508021,
Population_structure,Moria,40-49,4.9,6.3,9.240641711,
Population_structure,Moria,50-59,10.2,12.2,5.550802139,
Population_structure,Moria,60-69,16.6,27.4,2.540106952,
Population_structure,Moria,70-79,24.3,43.2,0.770053476,
Total_population,Moria,,,,18700,
